GEOID,CTYNAME,RACE,SEX,AGEGRP,YEAR,POPULATION
47001,Anderson,4,2,18,2022,27
47003,Bedford,1,1,1,2022,972
47003,Bedford,1,1,2,2022,1110
47003,Bedford,1,1,3,2022,1228
47003,Bedford,1,1,4,2022,1177
47003,Bedford,1,1,5,2022,1254
47003,Bedford,1,1,6,2022,1350
47003,Bedford,1,1,7,2022,1251
47003,Bedford,1,1,8,2022,1110
47003,Bedford,1,1,9,2022,1220
47003,Bedford,1,1,10,2022,1187
47003,Bedford,1,1,11,2022,1400
47003,Bedford,1,1,12,2022,1373
47003,Bedford,1,1,13,2022,1294
47003,Bedford,1,1,14,2022,1055
47003,Bedford,1,1,15,2022,867
47003,Bedford,1,1,16,2022,643
47003,Bedford,1,1,17,2022,378
47003,Bedford,1,1,18,2022,217
47003,Bedford,1,2,1,2022,1005
47003,Bedford,1,2,2,2022,1052
47003,Bedford,1,2,3,2022,1160
47003,Bedford,1,2,4,2022,1101
47003,Bedford,1,2,5,2022,1087
47003,Bedford,1,2,6,2022,1199
47003,Bedford,1,2,7,2022,1366
47003,Bedford,1,2,8,2022,1197
47003,Bedford,1,2,9,2022,1250
47003,Bedford,1,2,10,2022,1255
47003,Bedford,1,2,11,2022,1394
47003,Bedford,1,2,12,2022,1437
47003,Bedford,1,2,13,2022,1382
47003,Bedford,1,2,14,2022,1151
47003,Bedford,1,2,15,2022,1060
47003,Bedford,1,2,16,2022,789
47003,Bedford,1,2,17,2022,496
47003,Bedford,1,2,18,2022,351
47003,Bedford,2,1,1,2022,137
47003,Bedford,2,1,2,2022,113
47003,Bedford,2,1,3,2022,120
47003,Bedford,2,1,4,2022,117
47003,Bedford,2,1,5,2022,134
47003,Bedford,2,1,6,2022,157
47003,Bedford,2,1,7,2022,233
47003,Bedford,2,1,8,2022,158
47003,Bedford,2,1,9,2022,191
47003,Bedford,2,1,10,2022,134
47003,Bedford,2,1,11,2022,130
47003,Bedford,2,1,12,2022,116
47003,Bedford,2,1,13,2022,132
47003,Bedford,2,1,14,2022,104
47003,Bedford,2,1,15,2022,49
47003,Bedford,2,1,16,2022,37
47003,Bedford,2,1,17,2022,15
47003,Bedford,2,1,18,2022,9
47003,Bedford,2,2,1,2022,131
47003,Bedford,2,2,2,2022,137
47003,Bedford,2,2,3,2022,121
47003,Bedford,2,2,4,2022,100
47003,Bedford,2,2,5,2022,121
47003,Bedford,2,2,6,2022,146
47003,Bedford,2,2,7,2022,131
47003,Bedford,2,2,8,2022,122
47003,Bedford,2,2,9,2022,115
47003,Bedford,2,2,10,2022,98
47003,Bedford,2,2,11,2022,102
47003,Bedford,2,2,12,2022,152
47003,Bedford,2,2,13,2022,125
47003,Bedford,2,2,14,2022,109
47003,Bedford,2,2,15,2022,91
47003,Bedford,2,2,16,2022,56
47003,Bedford,2,2,17,2022,38
47003,Bedford,2,2,18,2022,33
47003,Bedford,3,1,1,2022,501
47003,Bedford,3,1,2,2022,420
47003,Bedford,3,1,3,2022,408
47003,Bedford,3,1,4,2022,397
47003,Bedford,3,1,5,2022,351
47003,Bedford,3,1,6,2022,289
47003,Bedford,3,1,7,2022,343
47003,Bedford,3,1,8,2022,281
47003,Bedford,3,1,9,2022,259
47003,Bedford,3,1,10,2022,210
47003,Bedford,3,1,11,2022,132
47003,Bedford,3,1,12,2022,113
47003,Bedford,3,1,13,2022,66
47003,Bedford,3,1,14,2022,41
47003,Bedford,3,1,15,2022,35
47003,Bedford,3,1,16,2022,15
47003,Bedford,3,1,17,2022,3
47003,Bedford,3,1,18,2022,2
47003,Bedford,3,2,1,2022,446
47003,Bedford,3,2,2,2022,423
47003,Bedford,3,2,3,2022,420
47003,Bedford,3,2,4,2022,401
47003,Bedford,3,2,5,2022,283
47003,Bedford,3,2,6,2022,261
47003,Bedford,3,2,7,2022,230
47003,Bedford,3,2,8,2022,256
47003,Bedford,3,2,9,2022,214
47003,Bedford,3,2,10,2022,167
47003,Bedford,3,2,11,2022,134
47003,Bedford,3,2,12,2022,79
47003,Bedford,3,2,13,2022,60
47003,Bedford,3,2,14,2022,36
47003,Bedford,3,2,15,2022,23
47003,Bedford,3,2,16,2022,12
47003,Bedford,3,2,17,2022,15
